사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
24-Oct,2호선,205,동대문역사문화공원(DDP),256,14,"5,259","1,171","4,754","9,105","7,683","22,807","14,067","49,313","17,594","37,132","20,235","36,193","21,323","33,919","24,427","33,772","26,517","34,607","31,493","36,574","37,259","33,726","43,516","33,033","51,684","35,773","51,360","40,042","36,083","36,271","27,714","27,288","26,180","23,177","21,452","18,461","11,867","11,572","2,376","3,387",1,146,0,0,0,0
24-Oct,2호선,206,신당,38,3,"6,425","1,297","11,654","7,282","30,541","15,918","52,773","31,190","30,824","23,536","22,279","20,063","21,406","22,374","25,051","23,547","25,109","24,562","24,483","24,864","25,622","28,018","29,726","33,200","32,032","43,210","34,680","59,162","24,057","38,595","19,512","25,188","17,940","22,027","15,963","20,509","8,246","12,056","1,505","3,651",4,59,0,0,0,0
24-Oct,2호선,207,상왕십리,20,0,"6,360",863,"14,393","6,105","43,219","12,303","66,720","30,825","37,901","19,057","25,531","14,780","21,408","13,963","23,491","16,063","22,325","17,549","20,011","18,710","21,415","23,012","22,506","27,877","25,792","38,455","27,052","55,787","18,866","38,242","12,216","25,414","10,689","23,127","7,188","21,277","3,056","13,291",593,"4,230",1,38,0,0,0,0
24-Oct,2호선,208,왕십리(성동구청),769,5,"6,790",986,"10,306","8,808","25,881","13,535","45,588","27,590","29,592","20,516","21,219","17,247","21,156","18,001","24,480","18,992","24,908","21,240","24,122","21,671","27,468","23,424","33,227","27,483","35,617","38,064","35,614","56,163","25,261","34,612","23,688","23,129","25,255","21,095","23,866","19,837","14,116","13,005","2,655","4,738",3,54,0,0,0,0
24-Oct,2호선,209,한양대,8,2,"1,242",522,"2,818","6,301","5,586","13,006","9,098","68,047","7,329","53,655","9,126","50,702","15,501","20,247","18,886","38,773","20,987","28,437","25,649","23,707","32,422","16,446","41,567","13,999","51,661","17,039","42,550","21,674","21,963","10,979","19,567","7,475","21,569","6,794","14,412","6,512","8,154","4,362","1,748","1,449",1,14,0,0,0,0
24-Oct,2호선,210,뚝섬,8,0,"3,395","2,712","9,420","21,708","18,588","40,088","26,583","138,130","17,939","96,834","16,209","53,205","20,076","46,983","26,464","46,865","31,353","47,377","37,934","43,255","50,696","43,469","65,111","43,580","95,087","46,611","143,993","53,442","78,266","30,373","55,086","16,505","47,535","13,636","28,571","12,352","10,930","7,469","1,534","2,688",1,83,0,0,0,0
24-Oct,2호선,211,성수,99,2,"5,661","4,168","8,903","35,526","22,496","73,419","29,514","246,653","24,699","159,547","24,273","105,830","29,395","99,676","41,193","100,855","54,827","106,199","70,615","102,514","90,337","100,020","115,749","94,091","171,554","91,032","267,950","89,034","145,894","50,062","115,829","25,221","90,420","18,617","59,174","15,386","22,779","11,820","3,406","6,569",1,924,0,0,0,0
24-Oct,2호선,212,건대입구,363,7,"15,774","2,020","22,857","16,300","55,025","25,536","92,401","62,031","65,147","50,865","44,187","47,813","42,710","50,082","49,059","56,610","54,397","61,679","56,842","61,458","61,496","68,024","69,607","81,486","82,846","108,164","90,451","150,214","69,703","103,424","71,638","67,678","73,845","63,437","70,545","56,818","41,354","33,151","6,663","10,871",8,"1,029",2,3,0,0
24-Oct,2호선,213,구의(광진구청),89,3,"13,908","1,799","26,912","42,195","70,836","18,134","115,238","39,391","72,348","22,998","42,072","22,075","34,996","22,034","36,762","24,872","35,230","28,227","32,396","29,831","36,401","37,457","50,468","44,603","47,355","62,465","45,775","96,236","27,706","69,340","20,153","47,611","17,868","45,174","14,947","41,656","8,471","23,371","1,338","6,893",4,146,0,0,0,0
24-Oct,2호선,214,강변(동서울터미널),26,0,"9,024","2,088","24,246","24,771","67,440","25,696","102,900","43,235","76,719","35,234","61,730","35,771","54,819","34,376","49,804","37,966","47,907","43,070","44,522","45,689","45,759","55,118","49,364","59,874","55,566","73,326","58,419","94,343","42,867","66,098","34,716","47,370","29,271","39,054","17,463","33,338","6,071","17,773",782,"4,555",0,77,0,0,0,0
24-Oct,2호선,215,잠실나루,10,1,"3,633","3,617","13,854","21,481","39,256","23,883","49,597","38,867","33,511","25,641","27,716","19,324","26,386","17,884","24,200","20,937","23,019","23,027","24,132","21,252","27,267","21,929","36,483","24,359","41,437","30,999","31,170","41,956","15,891","30,330","11,505","19,888","8,356","18,340","6,025","17,116","2,830","9,556",446,"2,732",2,61,0,0,0,0
24-Oct,2호선,216,잠실(송파구청),116,24,"14,349","5,177","50,460","41,187","121,155","88,171","169,307","185,672","123,717","176,410","89,728","129,444","91,089","129,519","102,391","124,790","112,715","124,053","122,820","127,601","147,107","141,363","170,108","157,259","202,699","194,674","245,552","235,882","174,698","157,766","178,475","105,803","159,325","96,027","99,898","83,364","31,197","46,429","4,876","9,640",8,218,0,0,0,0
24-Oct,2호선,217,잠실새내,46,1,"6,162","1,111","19,294","9,620","62,969","18,861","88,911","30,016","58,277","31,246","40,252","26,411","37,415","28,194","37,711","32,550","37,295","36,801","33,323","38,493","36,349","44,768","39,874","52,390","42,522","68,304","44,215","89,808","33,014","61,366","28,390","38,641","27,843","34,888","26,395","31,443","13,543","16,756","2,374","4,951",4,163,0,0,0,0
24-Oct,2호선,218,종합운동장,2,0,"1,588",973,"6,436","14,073","18,141","24,014","23,909","33,823","17,308","16,052","13,241","14,482","12,672","16,858","14,737","29,997","15,328","43,921","14,074","20,522","17,825","19,154","32,365","25,640","56,288","42,931","22,911","44,438","13,831","20,084","14,066","12,163","47,760","11,806","11,048","10,338","2,308","5,681",312,"1,499",2,84,0,0,0,0
24-Oct,2호선,219,삼성(무역센터),159,1,"4,690","5,584","7,359","47,345","15,434","143,088","21,111","322,810","22,199","245,189","26,188","120,915","40,499","85,123","53,822","76,686","67,113","81,907","82,098","71,538","103,016","61,867","131,724","60,674","225,480","64,099","283,816","60,392","145,364","33,895","119,017","18,743","96,559","15,944","58,221","11,600","15,902","6,359","2,181","3,831",0,940,0,0,0,0
24-Oct,2호선,220,선릉,149,5,"4,735","6,204","12,314","46,254","23,974","123,711","37,283","280,753","37,038","210,790","41,939","103,432","52,515","70,794","63,704","65,820","72,328","74,004","81,058","59,776","103,311","55,241","133,870","54,396","211,662","59,389","285,600","61,543","143,680","39,532","93,818","24,894","84,653","22,066","70,009","18,773","24,877","11,356","3,998","4,444",4,152,1,1,0,0
24-Oct,2호선,221,역삼,30,1,"3,804","6,954","9,619","45,524","16,702","155,128","27,302","364,763","25,706","294,842","27,510","122,766","35,752","66,496","43,145","61,275","50,955","68,031","61,137","53,142","81,466","46,667","108,371","45,038","226,857","54,028","268,093","59,044","148,152","37,626","84,769","24,396","76,191","20,511","49,342","16,898","18,597","10,555","3,315","3,233",2,62,0,0,0,0
24-Oct,2호선,222,강남,148,4,"8,113","11,256","18,052","59,663","39,807","152,310","62,260","305,899","55,503","314,095","56,166","152,585","73,333","106,734","90,028","105,127","103,821","117,232","115,518","106,279","138,523","100,433","166,859","110,577","248,211","139,876","310,065","174,771","209,257","105,117","162,387","60,203","176,696","50,949","152,466","40,501","68,924","23,190","11,657","6,444",6,114,0,0,0,0
